PLAYER_NAME,SALARY
Isaiah Hartenstein,"$3,430,810"
Udonis Haslem,"$2,641,691"
Sam Hauser,"$313,737"
Jaxson Hayes,"$5,348,280"
Killian Hayes,"$5,572,680"
Gordon Hayward,"$29,900,000"
Juancho Hernangomez,"$6,175,440"
Willy Hernangomez,"$2,327,220"
Tyler Herro,"$4,004,280"
Buddy Hield,"$22,477,273"
Haywood Highsmith,"$290,967"
George Hill,"$4,000,000"
Malcolm Hill,
Nate Hinton,
Aaron Holiday,"$3,980,551"
Jrue Holiday,"$30,133,333"
Justin Holiday,"$6,006,420"
Richaun Holmes,"$10,384,500"
Rodney Hood,"$2,239,544"
Al Horford,"$27,000,000"
Talen Horton-Tucker,"$9,500,000"
Danuel House Jr.,"$2,045,094"
Dwight Howard,"$2,641,691"
Markus Howard,
Kevin Huerter,"$4,253,357"
Elijah Hughes,"$1,517,981"
Feron Hunt,
De'Andre Hunter,"$7,775,400"
Bones Hyland,"$2,096,880"
Serge Ibaka,"$9,742,000"
Andre Iguodala,"$2,641,691"
Joe Ingles,"$14,000,000"
Brandon Ingram,"$29,467,800"
Kyrie Irving,"$34,916,200"
Jonathan Isaac,"$17,400,000"
Frank Jackson,"$3,000,000"
Isaiah Jackson,"$2,451,120"
Josh Jackson,"$5,005,350"
Reggie Jackson,"$10,384,500"
Jaren Jackson Jr.,"$9,180,560"
LeBron James,"$41,180,544"
Ty Jerome,"$2,412,840"
Isaiah Joe,"$1,517,981"
Cameron Johnson,"$4,437,000"
David Johnson,
Jalen Johnson,"$2,659,560"
Keldon Johnson,"$2,145,720"
Keon Johnson,"$2,553,120"
Stanley Johnson,"$888,616"
Nikola Jokic,"$30,510,423"
Damian Jones,"$1,977,011"
Herbert Jones,"$1,700,000"
Kai Jones,"$2,770,560"
Mason Jones,
Tre Jones,"$1,517,981"
Tyus Jones,"$7,522,200"
Derrick Jones Jr.,"$9,720,900"
DeAndre Jordan,"$11,109,327"
Cory Joseph,"$7,310,000"
Luke Kennard,"$12,727,273"
Braxton Key,
Corey Kispert,"$3,383,640"
Maxi Kleber,"$8,750,000"
Nathan Knight,
Kevin Knox II,
John Konchar,"$2,197,674"
Furkan Korkmaz,"$4,629,630"
Luke Kornet,"$606,702"
Vit Krejci,"$925,258"
Arnoldas Kulboka,
Jonathan Kuminga,"$5,466,360"
Kyle Kuzma,"$13,000,000"
Zach LaVine,"$19,500,000"
Anthony Lamb,
Jeremy Lamb,"$10,500,000"
Jock Landale,"$925,258"
Romeo Langford,"$3,804,360"
Jake Layman,"$3,940,184"
Caris LeVert,"$17,500,000"
Damion Lee,"$1,910,860"
Saben Lee,"$1,489,065"
Alex Len,"$3,731,707"
Kawhi Leonard,"$39,344,900"
Scottie Lewis,
Kira Lewis Jr.,"$3,822,240"
Damian Lillard,"$39,344,900"
Nassir Little,"$2,316,240"
Isaiah Livers,"$1,057,260"
Kevon Looney,"$5,178,572"
Brook Lopez,"$13,302,325"
Robin Lopez,"$5,000,000"
Didi Louzada,"$1,786,878"
Kevin Love,"$31,300,000"
Kyle Lowry,"$26,984,128"
Gabriel Lundberg,
Timothe Luwawu-Cabarrot,"$1,939,350"
Trey Lyles,"$2,500,000"
Theo Maledon,"$2,000,000"
Sandro Mamukelashvili,
Terance Mann,"$1,782,621"
Tre Mann,"$2,901,240"
Boban Marjanovic,"$3,500,000"
Lauri Markkanen,"$15,690,909"
Naji Marshall,"$1,517,981"
Caleb Martin,"$527,614"
Cody Martin,"$1,782,621"
Kenyon Martin Jr.,"$1,517,981"
Garrison Mathews,"$1,093,598"
Wesley Matthews,"$1,958,501"
Tyrese Maxey,"$2,602,920"
Skylar Mays,"$34,231"
Miles McBride,"$925,258"
Mac McClung,
CJ McCollum,"$30,864,198"
T.J. McConnell,"$7,500,000"
Jaden McDaniels,"$2,063,280"
Jalen McDaniels,"$1,782,621"
Doug McDermott,"$13,750,000"
JaVale McGee,"$5,000,000"
Rodney McGruder,"$1,939,350"
Jordan McLaughlin,"$1,669,178"
Ben McLemore,"$2,389,641"
De'Anthony Melton,"$8,437,500"
Chimezie Metu,"$1,762,796"
Khris Middleton,"$35,500,000"
Patty Mills,"$5,890,000"
Paul Millsap,"$2,641,691"
Shake Milton,"$1,846,738"
Davion Mitchell,"$4,603,320"
Donovan Mitchell,"$28,103,550"
Evan Mobley,"$8,075,160"
Malik Monk,"$1,789,256"
Greg Monroe,"$55,208"
Moses Moody,"$3,562,080"
Xavier Moon,
Ja Morant,"$9,603,360"
Juwan Morgan,"$19,186"
Markieff Morris,"$2,641,691"
Monte Morris,"$8,333,333"
Marcus Morris Sr.,
Mychal Mulder,
Trey Murphy III,"$3,053,760"
Dejounte Murray,"$15,428,571"
Jamal Murray,"$31,590,000"
Mike Muscala,"$3,500,000"
Svi Mykhailiuk,"$1,729,217"
Larry Nance Jr.,"$10,690,909"
RJ Nembhard Jr.,"$58,493"
Aaron Nesmith,"$3,631,200"
Raul Neto,"$2,089,448"
Georges Niang,"$3,300,000"
Daishen Nix,"$292,466"
Zeke Nnaji,"$2,498,760"
Nerlens Noel,"$8,800,000"
Jaylen Nowell,"$1,782,621"
Frank Ntilikina,"$1,789,256"
Kendrick Nunn,"$5,000,000"
Jusuf Nurkic,"$12,000,000"
David Nwaba,"$4,650,000"
Jordan Nwora,"$1,517,981"
Royce O'Neale,"$8,678,571"
Chuma Okeke,"$3,277,080"
Josh Okogie,"$4,087,904"
Onyeka Okongwu,"$6,104,280"
Isaac Okoro,"$6,720,720"
Victor Oladipo,"$2,389,641"
Kelly Olynyk,"$12,195,122"
Cedi Osman,"$8,050,000"
Kelly Oubre Jr.,"$12,000,000"
Eric Paschall,"$1,782,621"
Chris Paul,"$30,800,000"
Cameron Payne,"$6,500,000"
Elfrid Payton,"$2,239,544"
Gary Payton II,"$1,939,350"
Jamorko Pickett,
Theo Pinson,
Mason Plumlee,"$8,137,500"
Jakob Poeltl,"$8,750,000"
Aleksej Pokusevski,"$3,113,160"
Yves Pons,
Jordan Poole,"$2,161,440"
Kevin Porter Jr.,"$2,130,240"
Michael Porter Jr.,"$5,258,735"
Otto Porter Jr.,"$2,389,641"
Bobby Portis,"$4,347,600"
Kristaps Porzingis,"$31,650,600"
Dwight Powell,"$11,000,000"
Myles Powell,
Norman Powell,"$15,517,242"
Joshua Primo,"$3,946,800"
Taurean Prince,"$15,057,692"
Payton Pritchard,"$2,137,440"
Trevelin Queen,
Neemias Queta,
Immanuel Quickley,"$2,210,640"
Julius Randle,"$19,800,000"
Austin Reaves,"$925,258"
Cam Reddish,"$4,670,160"
Davon Reed,
Paul Reed,"$1,517,981"
Naz Reid,"$1,782,621"
Nick Richards,"$1,517,981"
Josh Richardson,"$11,615,328"
Austin Rivers,"$2,401,537"
Duncan Robinson,"$15,560,000"
